"Kota","Tanggal","Kategori","SubKategori","Rating.round","Keterangan","UnitTerjual_sum","UnitTerjual_mean","Harga_sum","Harga_mean","Diskon_sum","Diskon_mean","OmsetPenjualan_sum","OmsetPenjualan_mean","jumlahProduk"
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","1","Grosir",101,16.8333333333333,1096000,182666.666666667,0,0,6969500,1161583.33333333,6
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","1","None",240,7.27272727272727,5082000,154000,0,0,44134500,1337409.09090909,33
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","2","Grosir",58,3.86666666666667,2027499,135166.6,0,0,7139998,475999.866666667,15
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","2","None",289,7.41025641025641,5307800,136097.435897436,0.64,0.0164102564102564,43194700,1107556.41025641,39
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","3","Grosir",147,4.45454545454545,7074000,214363.636363636,0,0,24599000,745424.242424242,33
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","3","None",679,4.92028985507246,20139413,145937.775362319,2.06,0.0149275362318841,94093125,681834.239130435,138
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","4","Grosir",13337,74.9269662921348,23868999,134095.5,0,0,1064009412,5977580.96629213,178
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","4","None",33664,45.9263301500682,102155449,139366.233287858,16.56,0.0225920873124147,3381994579,4613908.02046385,733
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","5","Grosir",17485,48.840782122905,55397539,154741.729050279,0,0,1787327607,4992535.2150838,358
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Mukena","5","None",104201,50.1207311207311,367128748,176589.104377104,25.96,0.0124867724867725,12845568666,6178724.70707071,2079
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","1","Grosir",2,2,100000,1e+05,0,0,2e+05,2e+05,1
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","1","None",186,4.76923076923077,3167300,81212.8205128205,0.4,0.0102564102564103,14310200,366928.205128205,39
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","2","Grosir",1,1,150000,150000,0,0,150000,150000,1
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","2","None",106,4.41666666666667,1511750,62989.5833333333,0.24,0.01,5987600,249483.333333333,24
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","3","Grosir",12,3,350000,87500,0,0,630000,157500,4
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","3","None",776,11.9384615384615,5171112,79555.5692307692,0.39,0.006,30612912,470967.876923077,65
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","4","Grosir",298,15.6842105263158,1185939,62417.8421052632,0,0,11737845,617781.315789474,19
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","4","None",17837,66.3085501858736,20453711,76036.1003717472,0.9,0.0033457249070632,648181967,2409598.39033457,269
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","5","Grosir",49551,293.201183431953,14954602,88488.7692307692,0,0,1200016103,7100687,169
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sajadah","5","None",251791,220.869298245614,123956534,108733.801754386,4.89,0.00428947368421053,7526191538,6601922.40175439,1140
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","1","Grosir",16,16,45000,45000,0,0,720000,720000,1
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","1","None",112,6.22222222222222,2770600,153922.222222222,0.4,0.0222222222222222,14996300,833127.777777778,18
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","2","None",95,5.9375,1979887,123742.9375,0,0,7988577,499286.0625,16
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","3","Grosir",518,103.6,540000,108000,0,0,26858500,5371700,5
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","3","None",658,17.7837837837838,5174064,139839.567567568,0,0,51150043,1382433.59459459,37
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","4","Grosir",3844,213.555555555556,1467500,81527.7777777778,0,0,134863000,7492388.88888889,18
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","4","None",15331,74.7853658536585,17857737,87110.912195122,0,0,1064671398,5193519.01463415,205
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","5","Grosir",28605,208.795620437956,11371090,83000.6569343066,0,0,1187783334,8669951.34306569,137
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Sarung","5","None",87604,121.841446453408,112485433,156447.055632823,0.05,6.95410292072323e-05,5465558926,7601611.8581363,719
